,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Alabama,SEC,100.0,0.0,0.0
1,Washington,Pac-12,100.0,0.0,0.0
2,Georgia,SEC,100.0,0.0,0.0
3,Michigan,Big Ten,100.0,0.0,0.0
4,Ohio State,Big Ten,100.0,0.0,0.0
5,Iowa,Big Ten,100.0,0.0,0.0
6,Florida State,ACC,100.0,0.0,0.0
7,Oregon,Pac-12,100.0,0.0,0.0
8,Texas,Big 12,100.0,0.0,0.0
9,Tulane,AAC,64.95,64.95,100.0
10,Liberty,CUSA,56.9,56.9,100.0
11,Toledo,MAC,51.7,51.7,100.0
12,James Madison,Sun Belt,45.25,45.25,100.0
13,Troy,Sun Belt,43.05,43.05,100.0
14,Southern Methodist,AAC,22.05,22.05,100.0
15,Miami (OH),MAC,16.1,16.1,100.0
